2014-08-01,4156,17484,2014-08-01,15020,7228,2014-02-27,848,430,2014-01-29,9870,7044,2013-10-25,564,348,2014-10-31,3242,306,2014-12-08,3356,18518
2014-07-31,17782,9054,2014-07-31,8414,4510,2014-02-26,680,82,2014-01-28,1102,2472,2013-10-24,826,1944,2014-10-30,4792,4404,2014-12-05,1630,1930
2014-07-30,4930,1742,2014-07-30,6114,5252,2014-02-25,514,44,2014-01-27,7352,10874,2013-10-23,592,1300,2014-10-29,1922,338,2014-12-04,442,4452
2014-07-29,3548,1196,2014-07-29,2328,2390,2014-02-24,1158,742,2014-01-24,5798,6552,2013-10-22,1158,7536,2014-10-28,3734,232,2014-12-03,2738,6476
2014-07-28,310,458,2014-07-28,1980,2366,2014-02-21,3462,444,2014-01-23,18194,10012,2013-10-21,3644,5528,2014-10-27,1760,336,2014-12-02,648,4256
2014-07-25,4336,1594,2014-07-25,5250,19666,2014-02-20,1562,202,2014-01-22,2848,708,2013-10-18,25858,5728,2014-10-24,9936,1466,2014-12-01,4250,2334
2014-07-24,5586,510,2014-07-24,2106,2674,2014-02-19,1020,468,2014-01-21,3704,2774,2013-10-17,12124,4672,2014-10-23,13922,624,2014-11-28,348,760
2014-07-23,5082,8414,2014-07-23,4396,5982,2014-02-18,1174,274,2014-01-17,8516,4416,2013-10-16,16308,5582,2014-10-22,642,1294,2014-11-26,832,510
2014-07-22,11976,31750,2014-07-22,3646,2122,2014-02-14,4310,446,2014-01-16,5564,4176,2013-10-15,12858,7462,2014-10-21,3040,928,2014-11-25,1152,1086
2014-07-21,9270,11574,2014-07-21,9636,4334,2014-02-13,334,118,2014-01-15,15480,4448,2013-10-14,19460,2688,2014-10-20,3444,2510,2014-11-24,804,756
2014-07-18,15802,4866,2014-07-18,19792,14538,2014-02-12,3738,264,2014-01-14,18432,16076,2013-10-11,7134,1904,2014-10-17,17748,14420,2014-11-21,1680,524
2014-07-17,3452,4590,2014-07-17,24394,12710,2014-02-11,1316,138,2014-01-13,6530,2096,2013-10-10,19560,20570,2014-10-16,6960,7728,2014-11-20,5752,526
2014-07-16,1936,6908,2014-07-16,30976,30406,2014-02-10,470,8,2014-01-10,13730,2326,2013-10-09,5502,1328,2014-10-15,3330,3846,2014-11-19,6672,1036
2014-07-15,1672,1900,2014-07-15,11180,14334,2014-02-07,924,150,2014-01-09,15544,3506,2013-10-08,2044,2054,2014-10-14,4816,7324,2014-11-18,10376,1150
2014-07-14,2790,9626,2014-07-14,7168,8076,2014-02-06,132,72,2014-01-08,1434,1708,2013-10-07,3150,3542,2014-10-13,3768,6756,2014-11-17,502,434
2014-07-11,9812,782,2014-07-11,5806,2974,2014-02-05,630,1434,2014-01-07,2952,2060,2013-10-04,4170,780,2014-10-10,9166,3834,2014-11-14,1198,1688
2014-07-10,880,644,2014-07-10,3884,1738,2014-02-04,824,42,2014-01-06,7078,4470,2013-10-03,2492,1786,2014-10-09,10680,10414,2014-11-13,34764,958
2014-07-09,1434,9562,2014-07-09,4838,1226,2014-02-03,5814,3896,2014-01-03,1754,402,2013-10-02,1370,1448,2014-10-08,15280,12458,2014-11-12,832,368
2014-07-08,1492,1314,2014-07-08,8740,4136,2014-01-31,116,68,2014-01-02,2398,8208,2013-10-01,7994,2124,2014-10-07,22502,9526,2014-11-11,840,172
2014-07-07,2606,6888,2014-07-07,2384,2112,2014-01-30,1646,6,2013-12-31,5070,2226,2013-09-30,9900,2672,2014-10-06,16322,8710,2014-11-10,3334,1418
