2014-09-05,2390,4242,2015-01-13,63386,1680,2013-10-29,318,324,2014-09-05,2116,5750,2014-07-08,190,288,2014-04-02,19070,60,2015-01-14,96,0,2014-03-05,8434,7246,2014-12-15,290,528,2014-11-18,158,0,2015-01-21,202,244,2014-03-04,10,128,2014-11-10,182,48,2014-12-17,834,360,2014-10-01,2598,1422,2014-12-05,178,1010,2013-12-19,474,1054,2013-11-29,12436,5140
2014-09-04,3638,3978,2015-01-12,5220,1680,2013-10-28,400,370,2014-09-04,6068,12002,2014-07-07,46,412,2014-04-01,1426,302,2015-01-13,156,140,2014-03-04,6888,4026,2014-12-12,648,25884,2014-11-17,124,0,2015-01-20,860,360,2014-03-03,34,0,2014-11-07,550,94,2014-12-16,884,342,2014-09-30,362,1798,2014-12-04,4000,2864,2013-12-18,1464,982,2013-11-27,40078,15952
2014-09-03,842,1198,2015-01-09,1620,364,2013-10-25,228,26,2014-09-03,4742,1450,2014-07-03,196,8,2014-03-31,2436,968,2015-01-12,304,1128,2014-03-03,44286,12388,2014-12-11,558,204,2014-11-13,48,138,2015-01-16,390,100,2014-02-28,50,0,2014-11-06,798,172,2014-12-15,1178,266,2014-09-29,3734,1196,2014-12-03,2560,444,2013-12-17,9120,5058,2013-11-26,44476,40132
2014-09-02,1412,2564,2015-01-08,2796,164,2013-10-24,366,272,2014-09-02,5534,9610,2014-07-02,272,72,2014-03-28,1106,774,2015-01-09,222,184,2014-02-28,9236,8644,2014-12-10,636,11492,2014-11-12,24,342,2015-01-15,36,38,2014-02-24,124,168,2014-11-05,236,8,2014-12-12,168,124,2014-09-26,622,204,2014-12-02,724,2108,2013-12-16,340940,4268,2013-11-25,102810,21550
2014-08-29,2022,1404,2015-01-07,2650,1580,2013-10-23,3236,394,2014-08-29,4876,1608,2014-07-01,530,28,2014-03-27,1678,202,2015-01-08,1554,8340,2014-02-27,2916,1344,2014-12-09,244,26,2014-11-11,54,0,2015-01-14,22,1000,2014-02-21,182,644,2014-11-04,170,968,2014-12-11,680,90,2014-09-25,930,702,2014-12-01,294,1556,2013-12-13,23278,1968,2013-11-22,131858,43848
2014-08-28,1078,1006,2015-01-06,2320,2228,2013-10-22,1604,314,2014-08-28,19732,11534,2014-06-30,118,18,2014-03-26,566,378,2015-01-07,502,9506,2014-02-26,6804,734,2014-12-08,1918,96,2014-11-10,76,42,2015-01-13,54,100,2014-02-20,110,200,2014-11-03,186,120,2014-12-10,488,502,2014-09-24,1264,356,2014-11-28,194,368,2013-12-12,424,182,2013-11-21,2650,708
2014-08-27,1182,2922,2015-01-05,1478,1420,2013-10-21,364,732,2014-08-27,1746,6388,2014-06-27,190,20,2014-03-25,866,906,2015-01-06,1512,268,2014-02-25,6880,1956,2014-12-05,5810,5600,2014-11-07,2884,42,2015-01-12,466,86,2014-02-12,18,0,2014-10-31,224,306,2014-12-09,498,704,2014-09-23,2450,798,2014-11-26,330,1920,2013-12-11,1624,1030,2013-11-20,16792,3746
2014-08-26,1536,144,2015-01-02,2180,720,2013-10-18,5764,74,2014-08-26,20876,10080,2014-06-26,428,100,2014-03-24,258,220,2015-01-05,796,640,2014-02-24,19646,6274,2014-12-04,3240,128,2014-11-06,302,76,2015-01-09,94,24,2014-02-11,50,98,2014-10-30,264,190,2014-12-08,1644,586,2014-09-22,2568,4382,2014-11-25,1298,8988,2013-12-10,6338,374,2013-11-19,4916,4032
2014-08-25,4086,3148,2014-12-31,1926,12634,2013-10-17,12048,6250,2014-08-25,1160,702,2014-06-25,816,478,2014-03-21,1582,56,2015-01-02,694,130,2014-02-21,37522,3986,2014-12-03,3346,4942,2014-11-05,34,34,2015-01-08,116,110,2014-02-10,40,20,2014-10-29,434,80,2014-12-05,622,40,2014-09-19,4254,1640,2014-11-24,1482,3368,2013-12-09,2622,986,2013-11-18,5882,7596
2014-08-22,21894,24508,2014-12-30,496,714,2013-10-16,1150,284,2014-08-22,1308,1556,2014-06-24,1028,482,2014-03-20,536,136,2014-12-31,262,68,2014-02-20,48176,12430,2014-12-02,16,32,2014-11-04,40,0,2015-01-07,1138,5178,2014-02-06,22,350,2014-10-28,1492,946,2014-12-04,298,174,2014-09-18,452,1416,2014-11-21,2480,2714,2013-12-06,5446,1276,2013-11-15,4130,2696
2014-08-21,2986,18448,2014-12-29,396,602,2013-10-15,1100,14,2014-08-21,1214,1272,2014-06-23,110,58,2014-03-19,1204,96,2014-12-30,60,32,2014-02-19,35968,26272,2014-12-01,516,400,2014-11-03,6,0,2015-01-06,82,172,2014-02-04,20,12,2014-10-27,766,488,2014-12-03,230,128,2014-09-17,1158,540,2014-11-20,1908,11050,2013-12-05,8366,12970,2013-11-14,14024,4116
2014-08-20,2022,1002,2014-12-26,326,344,2013-10-14,552,78,2014-08-20,1582,2554,2014-06-20,346,130,2014-03-18,276,46,2014-12-29,222,14,2014-02-18,25918,10776,2014-11-28,24,40,2014-10-31,34,10,2015-01-05,422,680,2014-02-03,48,272,2014-10-24,968,202,2014-12-02,1176,562,2014-09-16,1230,2426,2014-11-19,2700,848,2013-12-04,3538,962,2013-11-13,10018,966
2014-08-19,8294,14320,2014-12-24,220,338,2013-10-11,1120,82,2014-08-19,2594,7506,2014-06-19,448,424,2014-03-17,118,88,2014-12-26,56,30,2014-02-14,2766,654,2014-11-26,1630,28,2014-10-30,12,34,2015-01-02,1164,238,2014-01-31,116,640,2014-10-23,850,40,2014-12-01,410,1158,2014-09-15,1524,636,2014-11-18,6882,6220,2013-12-03,8738,566,2013-11-12,8694,3062
